id,nombre,apellido,telefono,cedula
,Luis,Torres,3005556677,1067890123
,Camilo,Díaz,3011112233,1101234567
,Carlos,Rodríguez,3003334455,1045678901
,Jorge,Ramírez,3013334455,1123456789
,Miguel,Cárdenas,3017778899,1167890123
,Juliana,Acosta,3018889900,1178901234
,Juan,Pérez,3001112233,1023456789
,Natalia,Silva,3016667788,1156789012
,Paula,Moreno,3014445566,1134567890
,Valentina,Rojas,3008889900,1090123456
,Sara,Hernández,3024445566,1212345678
,Laura,Mendoza,3012223344,1112345678
,Andrés,Castro,3007778899,1089012345
,María,Gómez,3002223344,1034567890
,Daniela,Ruiz,3022223344,1190123456
,Kevin,López,3023334455,1201234567
,Ana,Martínez,3004445566,1056789012
,Felipe,Gómez,3021112233,1189012345
