id_venta,fecha,cliente,cedula_cliente,telefono_cliente,producto,categoria,precio,cantidad,vendedor
1001,2026-04-13,Luis Torres,1067890123,3005556677,Monitor Samsung 24,Monitores,850000,4,Carlos Gómez
1001,2026-04-13,Luis Torres,1067890123,3005556677,Laptop Asus,Computadores,3200000,4,Carlos Gómez
1002,2026-01-19,Camilo Díaz,1101234567,3011112233,Disco SSD 1TB,Almacenamiento,350000,5,Mónica Ruiz
1002,2026-01-19,Camilo Díaz,1101234567,3011112233,Monitor LG 27,Monitores,1200000,5,Mónica Ruiz
1002,2026-01-19,Camilo Díaz,1101234567,3011112233,Memoria USB 64GB,Almacenamiento,45000,4,Mónica Ruiz
1002,2026-01-19,Camilo Díaz,1101234567,3011112233,Mouse Logitech,Accesorios,80000,4,Mónica Ruiz
1003,2026-01-05,Carlos Rodríguez,1045678901,3003334455,Monitor LG 27,Monitores,1200000,1,Pedro Sánchez
1003,2026-01-05,Carlos Rodríguez,1045678901,3003334455,Monitor Samsung 24,Monitores,850000,3,Pedro Sánchez
1003,2026-01-05,Carlos Rodríguez,1045678901,3003334455,Disco SSD 1TB,Almacenamiento,350000,3,Pedro Sánchez
1003,2026-01-05,Carlos Rodríguez,1045678901,3003334455,Impresora Epson,Impresión,650000,5,Pedro Sánchez
1004,2026-03-26,Jorge Ramírez,1123456789,3013334455,Memoria USB 64GB,Almacenamiento,45000,2,Mónica Ruiz
1004,2026-03-26,Jorge Ramírez,1123456789,3013334455,Teclado Redragon,Accesorios,180000,3,Mónica Ruiz
1005,2026-03-20,Miguel Cárdenas,1167890123,3017778899,Monitor Samsung 24,Monitores,850000,3,Javier León
1005,2026-03-20,Miguel Cárdenas,1167890123,3017778899,SSD 512GB,Almacenamiento,220000,3,Javier León
1006,2026-04-09,Luis Torres,1067890123,3005556677,Teclado Redragon,Accesorios,180000,4,Diana Torres
1006,2026-04-09,Luis Torres,1067890123,3005556677,Laptop HP,Computadores,2800000,4,Diana Torres
1006,2026-04-09,Luis Torres,1067890123,3005556677,Laptop Asus,Computadores,3200000,2,Diana Torres
1006,2026-04-09,Luis Torres,1067890123,3005556677,Mouse Logitech,Accesorios,80000,1,Diana Torres
1007,2026-04-24,Miguel Cárdenas,1167890123,3017778899,Laptop HP,Computadores,2800000,2,Javier León
1007,2026-04-24,Miguel Cárdenas,1167890123,3017778899,Mouse Logitech,Accesorios,80000,2,Javier León
1007,2026-04-24,Miguel Cárdenas,1167890123,3017778899,Disco SSD 1TB,Almacenamiento,350000,3,Javier León
1008,2026-04-17,Miguel Cárdenas,1167890123,3017778899,Monitor LG 27,Monitores,1200000,5,Javier León
1008,2026-04-17,Miguel Cárdenas,1167890123,3017778899,Teclado Redragon,Accesorios,180000,2,Javier León
1008,2026-04-17,Miguel Cárdenas,1167890123,3017778899,Laptop Lenovo,Computadores,2500000,5,Javier León
1009,2026-03-17,Juliana Acosta,1178901234,3018889900,Laptop Lenovo,Computadores,2500000,4,Diana Torres
1009,2026-03-17,Juliana Acosta,1178901234,3018889900,Memoria USB 64GB,Almacenamiento,45000,3,Diana Torres
1009,2026-03-17,Juliana Acosta,1178901234,3018889900,Teclado Mecánico,Accesorios,250000,1,Diana Torres
1009,2026-03-17,Juliana Acosta,1178901234,3018889900,Laptop HP,Computadores,2800000,4,Diana Torres
